continent,country,area,location,latitude,longitude
europe,austria,,hallstatt,,
europe,austria,,hallein,,
europe,austria,,salzburg,,
europe,austria,,vienna,,
europe,belgium,,brussels,,
north_america,canada,,banff,,
north_america,canada,,jasper,,
north_america,canada,,kamloops,,
north_america,canada,,kelowna,,
north_america,canada,,toronto,,
north_america,canada,,vancouver,,
north_america,canada,,victoria,,
north_america,canada,,whistler,,
asia,china,,guangzhou,,
asia,china,,hong kong,,
asia,china,,macau,,
asia,china,,taiwan,,
asia,china,,xiamen,,
europe,croatia,,split,,
europe,croatia,,zadar,,
europe,denmark,,copenhagen,,
europe,france,mainland,paris,,
europe,france,mainland,lyon,,
europe,germany,,colonge,,
europe,germany,,dusseldorf,,
europe,germany,,hamburg,,
europe,germany,,hannover,,
europe,germany,,munich,,
europe,germany,,wuppertal,,
europe,hungary,,budapest,,
asia,india,,agra,,
asia,india,,gurugram,,
asia,india,,new delhi,,
asia,india,,hyderabad,,
europe,italy,mainland,rome,,
asia,japan,,kanazawa,,
asia,japan,,osaka,,
asia,japan,,tokyo,,
asia,malaysia,,kuala lumpur,,
europe,netherlands,mainland,amsterdam,,
europe,norway,,narvik,,
europe,norway,,oslo,,
europe,norway,,tromso,,
europe,spain,canary_islands,gran canaria,,
europe,spain,canary_islands,tenerife,,
europe,spain,mainland,seville,,
europe,spain,mainland,mallorca,,
asia,south_korea,,busan,,
asia,south_korea,,jeju,,
asia,south_korea,,seoul,,
europe,sweden,,gothenburg,,
europe,switzerland,,bern,,
europe,switzerland,,geneva,,
europe,switzerland,,montreux,,
europe,switzerland,,zurich,,
europe,poland,,krakow,,
europe,poland,,lublin,,
europe,poland,,warsaw,,
europe,portugal,mainland,porto,,
europe,united_kingdom,england,bath,,
europe,united_kingdom,england,birmingham,,
europe,united_kingdom,england,bristol,,
europe,united_kingdom,england,cambridge,,
europe,united_kingdom,england,london,50,0
europe,united_kingdom,england,liverpool,,
europe,united_kingdom,england,manchester,,
europe,united_kingdom,england,oxford,,
europe,united_kingdom,scotland,edinburgh,,
europe,united_kingdom,scotland,glasgow,,
europe,united_kingdom,wales,cardiff,,
north_america,usa,mainland,new york,,
north_america,usa,mainland,california,,
